epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9486,2.57559,2.94948,1.20001,0.54314,0.07069,0.08829,0.03852,2.50732,2.55571,1.18808,0.000661538,0.000661538,0.000661538
2,21.6639,2.44167,2.1869,1.15358,0.29131,0.18268,0.1264,0.04804,2.66234,2.01973,1.23657,0.00131944,0.00131944,0.00131944
3,33.4104,2.49445,2.16017,1.17574,0.25291,0.17951,0.12485,0.04525,2.78757,2.92994,1.30825,0.00196854,0.00196854,0.00196854
4,44.4415,2.53666,2.13537,1.20123,0.18908,0.14853,0.11356,0.05211,2.63356,2.85529,1.18231,0.0019604,0.0019604,0.0019604
5,55.5682,2.44686,1.99481,1.17068,0.32708,0.14615,0.15076,0.06558,2.49475,2.31933,1.14015,0.0019472,0.0019472,0.0019472
6,66.747,2.40573,1.912,1.14253,0.49878,0.14853,0.19962,0.07804,2.52467,2.19462,1.13592,0.001934,0.001934,0.001934
7,77.4346,2.36298,1.83908,1.11725,0.32815,0.21763,0.20684,0.08248,2.46709,1.83733,1.13838,0.0019208,0.0019208,0.0019208
8,88.1702,2.30608,1.77244,1.11951,0.37563,0.23272,0.20553,0.08487,2.44187,1.71212,1.12807,0.0019076,0.0019076,0.0019076
9,98.5067,2.31399,1.70911,1.11377,0.40544,0.26132,0.24713,0.09667,2.52186,1.68059,1.14587,0.0018944,0.0018944,0.0018944
10,108.804,2.28403,1.64521,1.09732,0.4138,0.32168,0.28891,0.11084,2.40611,1.49643,1.09815,0.0018812,0.0018812,0.0018812
11,119.166,2.27164,1.6222,1.09615,0.4279,0.27244,0.25479,0.09726,2.50121,1.41088,1.14745,0.001868,0.001868,0.001868
12,129.333,2.24602,1.57633,1.08877,0.44609,0.32368,0.2986,0.11056,2.42377,1.38853,1.11041,0.0018548,0.0018548,0.0018548
13,139.844,2.24182,1.54206,1.07879,0.4198,0.35107,0.32097,0.11745,2.34675,1.3952,1.07864,0.0018416,0.0018416,0.0018416
14,150.866,2.2052,1.48489,1.07954,0.51758,0.40222,0.39039,0.14321,2.28659,1.30215,1.05256,0.0018284,0.0018284,0.0018284
15,160.928,2.17737,1.4546,1.0687,0.49322,0.39396,0.37404,0.13342,2.40857,1.30581,1.09725,0.0018152,0.0018152,0.0018152
16,171.344,2.15239,1.40776,1.06767,0.49688,0.3892,0.37045,0.13684,2.31423,1.29069,1.07167,0.001802,0.001802,0.001802
17,182.003,2.13631,1.4115,1.06822,0.45467,0.33042,0.30501,0.11332,2.44328,1.34008,1.11326,0.0017888,0.0017888,0.0017888
18,192.152,2.14527,1.45795,1.05538,0.5039,0.36458,0.35512,0.12845,2.36217,1.33736,1.07671,0.0017756,0.0017756,0.0017756
19,202.62,2.13507,1.47588,1.05587,0.45636,0.33439,0.33749,0.12229,2.41874,1.40334,1.08081,0.0017624,0.0017624,0.0017624
20,212.796,2.10337,1.40927,1.04151,0.50482,0.37492,0.40732,0.15833,2.26523,1.56326,1.05237,0.0017492,0.0017492,0.0017492
21,223.26,2.11008,1.32005,1.04192,0.5579,0.41223,0.43375,0.1637,2.21495,1.22564,1.02113,0.001736,0.001736,0.001736
22,232.199,2.11597,1.31186,1.04455,0.5329,0.42046,0.43136,0.16263,2.25184,1.31863,1.05033,0.0017228,0.0017228,0.0017228
23,241.361,2.14009,1.30978,1.04957,0.49217,0.39635,0.39765,0.14847,2.24261,1.41119,1.02743,0.0017096,0.0017096,0.0017096
24,250.313,2.07511,1.25517,1.03685,0.55807,0.4654,0.47648,0.18651,2.11275,1.19524,1.01166,0.0016964,0.0016964,0.0016964
25,259.14,2.12647,1.26946,1.04415,0.57186,0.46386,0.47359,0.17664,2.15713,1.18385,1.0189,0.0016832,0.0016832,0.0016832
26,267.904,2.09305,1.25208,1.04007,0.5373,0.45433,0.45439,0.17394,2.1573,1.25242,1.01493,0.00167,0.00167,0.00167
27,276.465,2.06654,1.22698,1.02054,0.61161,0.46068,0.48818,0.19055,2.09742,1.16087,0.99923,0.0016568,0.0016568,0.0016568
28,286.125,2.03102,1.22627,1.01753,0.50468,0.417,0.42328,0.15659,2.17116,1.32481,1.00625,0.0016436,0.0016436,0.0016436
29,295.936,2.01136,1.20969,1.02009,0.5455,0.40191,0.43388,0.17489,2.16109,1.39097,1.01107,0.0016304,0.0016304,0.0016304
30,306.165,2.00404,1.19352,1.01308,0.57236,0.42097,0.45481,0.1776,2.16389,1.24279,1.01201,0.0016172,0.0016172,0.0016172
31,316.417,1.96925,1.20167,1.00802,0.54553,0.43606,0.45957,0.18358,2.08841,1.30538,0.99001,0.001604,0.001604,0.001604
