epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.3792,2.5819,3.03334,1.2156,0.77764,0.04722,0.10162,0.04263,2.45351,2.82838,1.1586,0.000659176,0.000659176,0.000659176
2,14.4708,2.4402,2.24938,1.17066,0.27108,0.24067,0.1588,0.06102,2.63784,3.27982,1.24256,0.00131709,0.00131709,0.00131709
3,21.3321,2.46062,2.15632,1.16698,0.2951,0.18056,0.15216,0.06378,2.64551,2.26643,1.23517,0.00196621,0.00196621,0.00196621
4,26.8593,2.44703,2.07982,1.17974,0.59639,0.07149,0.16276,0.0669,2.50806,2.55984,1.15802,0.0019604,0.0019604,0.0019604
5,32.2534,2.43439,1.98285,1.16732,0.40768,0.18507,0.19949,0.07412,2.55592,2.02471,1.1408,0.0019472,0.0019472,0.0019472
6,37.5636,2.39892,1.87227,1.13613,0.38673,0.28753,0.24062,0.08487,2.53538,1.66108,1.13228,0.001934,0.001934,0.001934
7,43.5503,2.35982,1.83107,1.14312,0.39847,0.1803,0.17842,0.07329,2.55244,2.11247,1.15827,0.0019208,0.0019208,0.0019208
8,50.1337,2.38672,1.84888,1.12857,0.42299,0.30739,0.26933,0.09463,2.51001,1.47115,1.15326,0.0019076,0.0019076,0.0019076
9,56.8138,2.32639,1.64118,1.11919,0.4626,0.34154,0.3388,0.12868,2.37329,1.39376,1.09029,0.0018944,0.0018944,0.0018944
10,63.5087,2.31539,1.65639,1.11165,0.46854,0.30811,0.31586,0.11647,2.42001,1.62022,1.10144,0.0018812,0.0018812,0.0018812
11,70.5849,2.28544,1.63542,1.10063,0.45278,0.31771,0.30917,0.11776,2.34106,1.51881,1.08119,0.001868,0.001868,0.001868
12,78.255,2.19881,1.50067,1.09025,0.54267,0.38523,0.40129,0.1452,2.29926,1.4126,1.07914,0.0018548,0.0018548,0.0018548
13,85.9333,2.18866,1.42886,1.0757,0.52949,0.40508,0.41529,0.15562,2.22447,1.2966,1.04225,0.0018416,0.0018416,0.0018416
14,93.2301,2.2796,1.47613,1.10632,0.48352,0.37967,0.38193,0.14334,2.24214,1.38855,1.04491,0.0018284,0.0018284,0.0018284
15,100.703,2.16384,1.45424,1.07347,0.48009,0.37093,0.38349,0.14632,2.27196,1.41282,1.05063,0.0018152,0.0018152,0.0018152
16,107.96,2.11126,1.36929,1.05793,0.51804,0.41064,0.40848,0.16069,2.21213,1.25925,1.03477,0.001802,0.001802,0.001802
17,115.726,2.12063,1.37269,1.04514,0.55672,0.37967,0.41832,0.1645,2.23387,1.25358,1.03941,0.0017888,0.0017888,0.0017888
18,123.477,2.16894,1.4225,1.04732,0.47561,0.34948,0.36279,0.13933,2.2543,1.43726,1.04805,0.0017756,0.0017756,0.0017756
19,130.593,2.11832,1.32111,1.04707,0.55198,0.40508,0.43249,0.17701,2.1717,1.27859,1.01785,0.0017624,0.0017624,0.0017624
20,137.055,2.09167,1.29042,1.03288,0.58168,0.45751,0.48826,0.1852,2.11271,1.21015,1.00227,0.0017492,0.0017492,0.0017492
