epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1657,2.1518,2.85208,1.34698,0.01455,0.89773,0.58586,0.27988,1.60188,2.76469,1.06187,0.00044,0.00044,0.00044
2,4.60819,1.85535,1.66836,1.17483,0.97504,0.17758,0.65738,0.30772,1.76093,2.32926,1.1211,0.00089406,0.00089406,0.00089406
3,6.0299,1.74202,1.57772,1.2032,0.85222,0.44318,0.69261,0.34684,1.62733,2.08156,1.11485,0.00134205,0.00134205,0.00134205
4,7.37789,1.79469,1.44246,1.19284,0.762,0.6,0.71062,0.3547,1.67288,1.37867,1.17898,0.00178396,0.00178396,0.00178396
5,8.75016,1.69205,1.29033,1.17726,0.33209,0.64298,0.31562,0.14872,1.65198,2.37035,1.17106,0.0019472,0.0019472,0.0019472
6,10.122,1.75739,1.32544,1.21737,0.8426,0.66917,0.76796,0.38679,1.68909,1.20388,1.19766,0.001934,0.001934,0.001934
7,11.3445,1.75373,1.23539,1.1839,0.82065,0.69318,0.77512,0.42218,1.58406,1.25138,1.14301,0.0019208,0.0019208,0.0019208
8,12.536,1.77418,1.22752,1.20292,0.76034,0.68864,0.75302,0.38793,1.61224,1.26934,1.16057,0.0019076,0.0019076,0.0019076
9,13.7309,1.80495,1.26081,1.2175,0.74723,0.67856,0.75243,0.35468,1.63858,2.08698,1.1516,0.0018944,0.0018944,0.0018944
10,14.8883,1.69603,1.23783,1.1555,0.83135,0.65682,0.77701,0.41898,1.55451,1.30756,1.14154,0.0018812,0.0018812,0.0018812
11,16.0259,1.63233,1.0947,1.16088,0.8325,0.71162,0.79208,0.44259,1.52449,1.03525,1.10991,0.001868,0.001868,0.001868
12,17.1851,1.60308,1.08554,1.11787,0.8212,0.72273,0.79063,0.4279,1.53087,1.10227,1.11417,0.0018548,0.0018548,0.0018548
13,18.3628,1.60329,1.08945,1.15294,0.79746,0.73636,0.80448,0.4206,1.57128,1.17612,1.14287,0.0018416,0.0018416,0.0018416
14,19.5008,1.56572,1.13748,1.14487,0.81547,0.73319,0.80754,0.43847,1.51354,1.63993,1.12649,0.0018284,0.0018284,0.0018284
15,20.6393,1.59546,1.11455,1.14964,0.86995,0.72727,0.81203,0.44307,1.54831,1.02862,1.12543,0.0018152,0.0018152,0.0018152
16,21.7833,1.63909,1.04309,1.12799,0.84988,0.70765,0.80857,0.39878,1.64452,0.97835,1.12482,0.001802,0.001802,0.001802
17,22.8902,1.62019,1.04158,1.12291,0.88311,0.75551,0.84681,0.47475,1.44476,0.89973,1.07818,0.0017888,0.0017888,0.0017888
18,24.0203,1.57183,0.99278,1.11564,0.84024,0.75455,0.81816,0.46454,1.51829,0.95547,1.11244,0.0017756,0.0017756,0.0017756
19,25.1882,1.54102,0.96368,1.08982,0.88646,0.78074,0.86881,0.49706,1.45953,0.8723,1.08552,0.0017624,0.0017624,0.0017624
20,26.3552,1.522,0.96785,1.08398,0.8335,0.69399,0.7846,0.43453,1.50397,0.98257,1.08726,0.0017492,0.0017492,0.0017492
21,27.5016,1.46555,0.92868,1.06269,0.82868,0.75853,0.83547,0.45944,1.46915,0.98468,1.09528,0.001736,0.001736,0.001736
22,28.6697,1.4484,0.89837,1.07433,0.85796,0.76879,0.84098,0.47269,1.50575,0.86641,1.09976,0.0017228,0.0017228,0.0017228
23,29.796,1.48983,0.92059,1.07921,0.82871,0.74771,0.821,0.45607,1.56361,0.97041,1.09866,0.0017096,0.0017096,0.0017096
24,30.9218,1.46201,0.89132,1.06414,0.89894,0.74318,0.84789,0.48467,1.4869,0.85937,1.0929,0.0016964,0.0016964,0.0016964
25,32.0514,1.51062,0.91182,1.10074,0.85541,0.77727,0.8422,0.45216,1.50045,0.97003,1.09143,0.0016832,0.0016832,0.0016832
26,33.1844,1.50728,0.90869,1.09552,0.85338,0.64773,0.76645,0.40023,1.64061,0.94512,1.13056,0.00167,0.00167,0.00167
27,34.3373,1.48802,0.89116,1.05746,0.85174,0.74425,0.82452,0.46544,1.47723,0.89783,1.08856,0.0016568,0.0016568,0.0016568
28,35.5195,1.44442,0.89106,1.05891,0.87503,0.73202,0.83503,0.4736,1.47885,0.94804,1.08921,0.0016436,0.0016436,0.0016436
29,36.6805,1.43262,0.88166,1.04862,0.85196,0.76136,0.82524,0.47551,1.43963,1.23044,1.07885,0.0016304,0.0016304,0.0016304
30,37.8482,1.41749,0.84244,1.05708,0.8449,0.75682,0.83527,0.48616,1.43958,0.95644,1.07253,0.0016172,0.0016172,0.0016172
31,38.9918,1.41355,0.83008,1.04332,0.86371,0.77776,0.8579,0.50213,1.44703,0.85165,1.07176,0.001604,0.001604,0.001604
32,40.1288,1.43902,0.85117,1.05237,0.90825,0.74545,0.84147,0.48429,1.49302,0.85417,1.08701,0.0015908,0.0015908,0.0015908
33,41.2733,1.42076,0.8298,1.05587,0.91899,0.77045,0.8617,0.50673,1.43391,0.83247,1.0713,0.0015776,0.0015776,0.0015776
34,42.4358,1.41826,0.80144,1.03147,0.90399,0.77273,0.86443,0.50519,1.4501,0.82412,1.07566,0.0015644,0.0015644,0.0015644
35,43.5909,1.49355,0.86063,1.06637,0.86788,0.74644,0.83331,0.48628,1.46389,0.89451,1.07886,0.0015512,0.0015512,0.0015512
36,44.726,1.4623,0.82258,1.06158,0.87459,0.77045,0.8461,0.49424,1.41672,0.86051,1.07443,0.001538,0.001538,0.001538
37,45.8972,1.41552,0.79306,1.02137,0.8623,0.79703,0.84579,0.48568,1.4535,0.87747,1.07172,0.0015248,0.0015248,0.0015248
38,47.0418,1.42723,0.79964,1.04547,0.88065,0.75,0.84403,0.47337,1.51217,0.83711,1.08859,0.0015116,0.0015116,0.0015116
