epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,447.493,1.3908,0.81581,1.10459,0.86397,0.58289,0.64903,0.33825,1.77597,1.04851,1.15274,0.000990365,0.000990365,0.000990365
43,458.246,1.35913,0.79787,1.09287,0.59644,0.58516,0.7149,0.39455,1.63826,1.04567,1.11729,0.000973861,0.000973861,0.000973861
44,468.718,1.36128,0.77938,1.09189,0.68408,0.81246,0.72023,0.36391,1.74674,1.1518,1.16813,0.000957358,0.000957358,0.000957358
45,479.362,1.35474,0.77934,1.08567,0.62161,0.59615,0.70584,0.35118,1.84871,1.02048,1.18224,0.000940855,0.000940855,0.000940855
46,490.426,1.35034,0.77778,1.07853,0.76392,0.80474,0.74705,0.41417,1.69327,0.94374,1.13464,0.000924352,0.000924352,0.000924352
47,501.377,1.36516,0.77095,1.08209,0.74034,0.74098,0.73338,0.29022,1.80767,1.05279,1.20516,0.000907848,0.000907848,0.000907848
48,512.377,1.33641,0.76542,1.07025,0.54802,0.83182,0.77195,0.37979,1.83033,1.10737,1.17093,0.000891345,0.000891345,0.000891345
49,523.173,1.30954,0.744,1.06047,0.55699,0.86258,0.65668,0.30088,1.88468,0.99008,1.16778,0.000874842,0.000874842,0.000874842
50,533.693,1.34691,0.76233,1.07616,0.6591,0.86813,0.68104,0.31887,1.77268,0.9399,1.14484,0.000858338,0.000858338,0.000858338
51,544.299,1.32886,0.72759,1.06603,0.72619,0.81319,0.84444,0.38138,1.89528,0.94964,1.17479,0.000841835,0.000841835,0.000841835
52,554.778,1.31852,0.7369,1.0614,0.60922,0.5633,0.65835,0.34581,1.74185,1.10966,1.13782,0.000825332,0.000825332,0.000825332
53,565.266,1.33827,0.75369,1.06962,0.67904,0.8956,0.6647,0.30107,1.88524,1.02641,1.18897,0.000808828,0.000808828,0.000808828
54,575.882,1.3227,0.74746,1.06409,0.65641,0.63058,0.63826,0.31459,1.86804,1.00054,1.18014,0.000792325,0.000792325,0.000792325
55,586.484,1.32535,0.73028,1.0651,0.74396,0.86264,0.77371,0.39911,1.7067,0.89968,1.11116,0.000775822,0.000775822,0.000775822
56,597.027,1.30073,0.71303,1.05989,0.74906,0.84066,0.76002,0.36746,1.72128,0.94651,1.13693,0.000759318,0.000759318,0.000759318
57,607.512,1.28885,0.70575,1.05511,0.73795,0.83131,0.7474,0.38741,1.90505,0.88645,1.19575,0.000742815,0.000742815,0.000742815
58,618.083,1.2915,0.69624,1.06114,0.55753,0.61264,0.5651,0.30421,1.6253,0.94639,1.12589,0.000726312,0.000726312,0.000726312
59,628.801,1.27995,0.68913,1.04485,0.72714,0.84066,0.75785,0.41687,1.60839,0.91074,1.09733,0.000709809,0.000709809,0.000709809
60,639.268,1.28458,0.69192,1.04829,0.65572,0.85165,0.75524,0.4241,1.63683,0.93341,1.11518,0.000693305,0.000693305,0.000693305
61,649.921,1.27108,0.6814,1.04937,0.61306,0.87768,0.73907,0.40022,1.65741,0.99752,1.13674,0.000676802,0.000676802,0.000676802
62,660.548,1.24973,0.66858,1.03716,0.74747,0.78022,0.75084,0.44538,1.6418,0.92138,1.12258,0.000660299,0.000660299,0.000660299
63,671.043,1.26179,0.6803,1.04087,0.72714,0.86813,0.759,0.39012,1.74553,0.90424,1.16283,0.000643795,0.000643795,0.000643795
64,681.567,1.24755,0.67443,1.0388,0.64118,0.89678,0.7785,0.41248,1.68874,0.87394,1.14712,0.000627292,0.000627292,0.000627292
65,692.243,1.24048,0.67304,1.03598,0.61757,0.91932,0.6892,0.37496,1.59432,0.89992,1.10771,0.000610789,0.000610789,0.000610789
66,703.033,1.25171,0.67049,1.03486,0.56558,0.61813,0.59809,0.35434,1.54616,0.93282,1.08216,0.000594286,0.000594286,0.000594286
67,713.869,1.23388,0.66108,1.02631,0.73333,0.84066,0.751,0.42447,1.57608,0.86251,1.09531,0.000577782,0.000577782,0.000577782
68,724.412,1.24359,0.65125,1.03016,0.76724,0.81868,0.76524,0.40024,1.66716,0.88247,1.11313,0.000561279,0.000561279,0.000561279
69,734.906,1.24591,0.6446,1.03044,0.68212,0.86602,0.83638,0.42918,1.73195,0.93619,1.13795,0.000544776,0.000544776,0.000544776
70,745.34,1.26371,0.64261,1.04117,0.75125,0.84615,0.83907,0.4042,1.89717,0.91303,1.20244,0.000528272,0.000528272,0.000528272
71,755.854,1.27162,0.65677,1.04273,0.89784,0.81319,0.92997,0.45295,1.87298,0.90137,1.15405,0.000511769,0.000511769,0.000511769
72,766.439,1.32383,0.68726,1.05548,0.72828,0.91327,0.78122,0.43285,1.61422,0.88569,1.11492,0.000495266,0.000495266,0.000495266
