                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4957,                  4.688,                 2.1673,                0.42246,                0.36364,                0.30459,                0.05387,                 3.5109,                  4.967,                 3.7494,              0.0006595,              0.0006595,              0.0006595
                      2,                 2.3393,                 2.8489,                  1.863,                0.14326,                0.19778,                0.04905,                0.00901,                 3.7625,                 3.2631,                 4.2949,               0.001313,               0.001313,               0.001313
                      3,                 2.3387,                 2.1687,                  1.855,                0.27313,                0.30303,                0.23512,                0.06845,                 3.3193,                  3.355,                 7.2162,              0.0019534,              0.0019534,              0.0019534
                      4,                 2.3881,                 1.7624,                  1.902,                0.34691,                0.36364,                0.29824,                0.06207,                 3.0108,                 3.2954,                 3.9706,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4301,                 1.6411,                 1.9035,                0.44716,                0.81818,                0.56658,                0.18881,                 2.4505,                 1.5667,                  1.813,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.3706,                 1.5578,                 1.8092,                0.51773,                0.66667,                0.62285,                0.19503,                 2.5151,                 1.4824,                  1.854,               0.001901,               0.001901,               0.001901
                      7,                  2.298,                 1.4097,                 1.8283,                 0.5636,                0.78788,                 0.5896,                0.17363,                 2.3668,                 1.5121,                 1.5932,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.261,                 1.4109,                 1.7967,                 0.5069,                0.78788,                0.61859,                0.17328,                 2.4457,                 1.6182,                 1.7794,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3252,                 1.3279,                 1.8004,                0.51814,                0.60606,                0.59594,                0.20627,                 2.3536,                  1.434,                 1.7056,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2258,                 1.3415,                 1.7156,                0.55296,                0.84848,                0.76147,                0.24096,                  2.346,                 1.3688,                 1.6734,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.1844,                 1.2858,                  1.642,                0.73984,                0.60606,                0.68619,                0.21122,                 2.3441,                 1.4885,                 1.6207,               0.001802,               0.001802,               0.001802
                     12,                 2.1498,                 1.2367,                 1.6571,                0.68211,                0.78788,                0.80221,                0.26537,                 2.3397,                 1.0937,                 1.6617,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.117,                 1.2444,                 1.6416,                0.54877,                0.93939,                0.66182,                0.23451,                 2.3084,                 1.3393,                 1.6812,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.0938,                 1.2481,                 1.5958,                0.53468,                0.75758,                0.65528,                 0.2375,                 2.2441,                 1.3813,                 1.6846,              0.0017426,              0.0017426,              0.0017426
