                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2017,                0.77432,                 1.3344,                0.80182,                 0.8881,                 0.8969,                0.56788,                 1.2847,                0.82868,                 1.5216,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1678,                0.76522,                 1.3003,                0.78435,                0.89698,                0.90932,                0.59834,                 1.2261,                0.82732,                 1.4357,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1691,                0.79919,                 1.3311,                0.82489,                 0.8374,                0.90192,                0.57111,                 1.2711,                0.81879,                 1.4615,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1467,                0.73903,                 1.2809,                 0.7985,                0.88076,                0.89717,                0.56838,                 1.2969,                0.77532,                 1.4394,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1156,                0.72006,                 1.2527,                0.79725,                 0.9058,                0.89676,                0.58113,                 1.2156,                0.77266,                  1.393,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1202,                0.73311,                 1.2686,                0.84063,                0.86179,                0.90106,                0.59295,                 1.2241,                0.79797,                   1.44,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0734,                0.69231,                 1.2604,                 0.8027,                0.84897,                0.88042,                0.58061,                 1.2384,                0.79554,                 1.4466,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0578,                0.69543,                 1.2325,                 0.8419,                 0.8645,                0.90376,                0.60147,                 1.1652,                0.74283,                  1.396,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0899,                0.70161,                 1.2245,                0.83133,                0.87534,                0.90873,                0.60843,                 1.2014,                0.74594,                 1.4082,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0757,                0.70013,                 1.2375,                0.75719,                0.83198,                0.83319,                0.51734,                 1.2785,                0.87898,                 1.4767,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0684,                0.68964,                 1.2248,                0.84567,                0.87617,                0.89089,                0.57416,                 1.2371,                0.77445,                 1.4655,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0918,                0.69533,                 1.2557,                0.82825,                0.88076,                0.91256,                0.59669,                 1.2511,                0.77344,                 1.4441,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0646,                0.67056,                   1.25,                0.82145,                0.87277,                 0.8889,                0.58067,                 1.2276,                0.77022,                  1.438,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0532,                0.64072,                 1.2183,                0.81028,                0.90786,                0.91878,                0.60501,                 1.2018,                0.74084,                  1.398,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0565,                0.66443,                 1.2206,                 0.7924,                0.88347,                  0.891,                0.60452,                 1.1752,                0.78789,                 1.3583,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0073,                0.64228,                 1.2074,                0.82264,                0.84215,                0.89649,                 0.5987,                 1.2237,                0.77369,                 1.4163,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0501,                0.65524,                 1.2107,                0.81207,                0.89973,                0.90401,                0.58062,                  1.277,                0.78134,                 1.4516,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0612,                0.65233,                 1.2214,                0.79664,                0.89175,                 0.8959,                 0.5778,                 1.2438,                0.75209,                  1.405,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0268,                0.64071,                 1.1882,                0.85198,                0.86179,                0.90938,                0.61204,                 1.1829,                0.73398,                 1.3537,             0.00080883,             0.00080883,             0.00080883
                     54,                0.98618,                0.62535,                 1.1697,                0.84794,                0.86721,                0.90473,                0.60734,                 1.1933,                0.72763,                 1.3799,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0084,                0.61241,                 1.1719,                0.80315,                0.89973,                0.90573,                0.60136,                 1.1984,                0.73299,                 1.3881,             0.00077582,             0.00077582,             0.00077582
                     56,                 0.9875,                 0.6065,                 1.1555,                0.80808,                0.86722,                0.89402,                0.58545,                 1.2292,                0.75061,                 1.3799,             0.00075932,             0.00075932,             0.00075932
                     57,                0.95639,                0.58343,                 1.1351,                0.87583,                0.86021,                0.91793,                0.62169,                 1.1993,                0.70644,                  1.378,             0.00074282,             0.00074282,             0.00074282
                     58,                0.99697,                 0.6024,                  1.159,                 0.8454,                0.90244,                0.90494,                0.60333,                 1.1958,                0.71909,                 1.3845,             0.00072631,             0.00072631,             0.00072631
                     59,                0.99325,                0.60574,                 1.1548,                0.85432,                0.84824,                0.91967,                0.62402,                 1.1553,                0.72696,                 1.3669,             0.00070981,             0.00070981,             0.00070981
                     60,                0.98649,                0.59936,                  1.139,                 0.8294,                0.86957,                0.90954,                0.61578,                 1.1799,                0.74001,                  1.376,             0.00069331,             0.00069331,             0.00069331
                     61,                 0.9519,                0.57813,                 1.1317,                0.81869,                0.87263,                0.92007,                0.62915,                 1.1834,                0.72865,                 1.3659,              0.0006768,              0.0006768,              0.0006768
                     62,                0.92024,                0.57451,                 1.1056,                0.79333,                0.89431,                0.91042,                0.60982,                 1.2213,                0.76397,                 1.3867,              0.0006603,              0.0006603,              0.0006603
                     63,                0.91569,                 0.5587,                  1.128,                0.85793,                0.85095,                0.92067,                 0.6231,                 1.1737,                 0.7015,                 1.3744,              0.0006438,              0.0006438,              0.0006438
                     64,                0.93703,                0.55931,                 1.1219,                0.81248,                 0.8924,                0.89753,                0.60595,                 1.2123,                0.75117,                 1.3767,             0.00062729,             0.00062729,             0.00062729
                     65,                0.93249,                0.55997,                 1.1242,                0.80861,                0.88161,                0.88531,                0.59375,                 1.2055,                0.75908,                 1.3997,             0.00061079,             0.00061079,             0.00061079
                     66,                0.94296,                0.55628,                 1.1327,                 0.8313,                0.88137,                0.90678,                0.60253,                 1.2097,                0.73533,                 1.3838,             0.00059429,             0.00059429,             0.00059429
                     67,                0.92876,                0.54748,                 1.1067,                0.83674,                0.84824,                0.91422,                0.61519,                 1.2091,                0.72743,                 1.3962,             0.00057778,             0.00057778,             0.00057778
                     68,                0.91758,                0.53531,                 1.1029,                0.84563,                0.86721,                0.90117,                0.61164,                 1.2002,                0.72994,                 1.3747,             0.00056128,             0.00056128,             0.00056128
                     69,                0.91015,                0.54081,                 1.0958,                0.85621,                 0.8553,                0.90698,                0.60448,                 1.2232,                 0.7437,                 1.4117,             0.00054478,             0.00054478,             0.00054478
                     70,                0.90074,                0.53127,                  1.097,                0.82654,                0.90392,                0.91872,                0.62443,                 1.1849,                0.72345,                 1.4024,             0.00052827,             0.00052827,             0.00052827
                     71,                0.89925,                0.54151,                 1.0993,                0.83992,                0.86737,                0.89572,                 0.6037,                  1.204,                0.75339,                 1.3987,             0.00051177,             0.00051177,             0.00051177
                     72,                0.89568,                0.52271,                 1.0938,                0.84863,                0.84824,                0.90807,                0.60649,                 1.2319,                0.75271,                 1.4141,             0.00049527,             0.00049527,             0.00049527
                     73,                0.86646,                0.51099,                 1.0871,                0.85343,                0.84824,                0.91375,                0.62787,                 1.1721,                 0.7338,                 1.3679,             0.00047876,             0.00047876,             0.00047876
                     74,                0.82959,                0.50044,                 1.0598,                0.81725,                0.88076,                0.90531,                 0.6131,                 1.1727,                0.75169,                 1.3996,             0.00046226,             0.00046226,             0.00046226
                     75,                0.87099,                0.50036,                  1.052,                0.83366,                0.88618,                0.90044,                0.61103,                 1.1854,                0.74558,                 1.3938,             0.00044576,             0.00044576,             0.00044576
                     76,                0.85038,                0.50334,                 1.0549,                0.81153,                0.89854,                0.91573,                0.61743,                 1.2022,                 0.7394,                 1.3986,             0.00042925,             0.00042925,             0.00042925
                     77,                0.83436,                0.48218,                 1.0416,                0.81983,                0.88788,                0.90296,                0.61542,                 1.1777,                0.71695,                  1.393,             0.00041275,             0.00041275,             0.00041275
                     78,                0.80747,                0.47139,                 1.0367,                0.82574,                0.88618,                0.89558,                0.61764,                 1.1454,                0.70779,                 1.3824,             0.00039625,             0.00039625,             0.00039625
                     79,                0.79857,                0.47086,                  1.035,                0.84677,                 0.8916,                0.91215,                 0.6248,                 1.1531,                 0.7113,                 1.3839,             0.00037974,             0.00037974,             0.00037974
                     80,                0.80866,                0.47487,                 1.0204,                0.87642,                0.82927,                 0.9053,                0.62131,                 1.1737,                0.72266,                 1.3836,             0.00036324,             0.00036324,             0.00036324
                     81,                0.80428,                0.46162,                  1.021,                0.84464,                0.85637,                0.90424,                  0.611,                 1.2139,                0.75356,                 1.4168,             0.00034674,             0.00034674,             0.00034674
                     82,                0.82978,                0.47285,                 1.0351,                0.86479,                0.84929,                0.90913,                0.62796,                 1.1769,                0.74059,                 1.4038,             0.00033023,             0.00033023,             0.00033023
                     83,                0.82156,                0.46526,                 1.0174,                0.84435,                0.87805,                0.90678,                0.61318,                 1.1839,                0.71982,                 1.4043,             0.00031373,             0.00031373,             0.00031373
                     84,                0.76603,                  0.452,                 1.0147,                 0.8426,                 0.8645,                0.90054,                0.61645,                 1.1971,                0.73269,                  1.424,             0.00029723,             0.00029723,             0.00029723
                     85,                0.76538,                0.45261,                 1.0125,                0.80383,                0.89949,                0.89799,                0.61525,                 1.2015,                0.75068,                 1.4347,             0.00028072,             0.00028072,             0.00028072
                     86,                0.73593,                0.42444,                0.99785,                0.82097,                0.88235,                0.89897,                0.61695,                  1.199,                0.75209,                 1.4303,             0.00026422,             0.00026422,             0.00026422
                     87,                0.74142,                0.43201,                0.99675,                0.82258,                0.89431,                 0.8988,                 0.6092,                 1.1967,                0.74836,                 1.4271,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.7425,                0.42788,                0.99206,                0.83628,                0.85825,                0.89848,                 0.6182,                 1.1914,                0.77365,                 1.4263,             0.00023121,             0.00023121,             0.00023121
                     89,                0.72064,                0.42987,                0.98521,                0.85786,                0.85049,                   0.91,                0.63393,                 1.1661,                0.76421,                 1.4004,             0.00021471,             0.00021471,             0.00021471
                     90,                0.70768,                0.41229,                0.96987,                0.83818,                0.88435,                0.91411,                0.62906,                 1.1697,                0.72316,                 1.4082,             0.00019821,             0.00019821,             0.00019821
                     91,                0.71425,                0.41469,                0.97172,                 0.8602,                0.86708,                0.91344,                0.62979,                 1.1789,                0.74703,                 1.4132,              0.0001817,              0.0001817,              0.0001817
                     92,                0.70955,                 0.4122,                0.96613,                 0.8502,                0.87671,                 0.9111,                0.62956,                 1.1728,                0.76226,                 1.4065,              0.0001652,              0.0001652,              0.0001652
                     93,                0.70381,                0.41299,                0.98434,                0.82967,                0.88347,                0.91113,                0.62498,                 1.1758,                0.74174,                 1.4252,              0.0001487,              0.0001487,              0.0001487
                     94,                0.71007,                0.41451,                0.96833,                0.82828,                0.86271,                 0.9097,                0.62681,                 1.1889,                0.74278,                 1.4346,             0.00013219,             0.00013219,             0.00013219
                     95,                0.70508,                0.41356,                0.96448,                0.84235,                0.85435,                0.90128,                0.62341,                 1.1812,                0.75762,                  1.436,             0.00011569,             0.00011569,             0.00011569
                     96,                0.71172,                0.41439,                0.96359,                0.85649,                0.84101,                0.90665,                0.62387,                 1.1819,                0.75358,                 1.4354,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.68316,                0.38855,                0.95566,                0.86203,                 0.8297,                 0.9028,                0.62746,                 1.1805,                0.77197,                 1.4322,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.67958,                0.39354,                0.95276,                0.84584,                0.85095,                0.90395,                0.62305,                 1.1838,                0.77868,                 1.4313,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.66893,                0.38783,                0.95064,                0.83606,                0.85908,                0.90134,                0.62112,                  1.182,                0.77396,                 1.4376,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.67224,                0.39064,                0.95594,                0.82401,                 0.8645,                0.90135,                0.61897,                 1.1836,                0.77859,                 1.4372,             3.3173e-05,             3.3173e-05,             3.3173e-05
