                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6471,                 1.0013,                 1.0983,                0.72883,                0.58516,                0.70351,                0.35551,                 1.8589,                 1.0475,                 1.0557,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.7075,                 1.0318,                 1.1102,                0.35018,                 0.5746,                 0.5331,                0.25709,                 1.9596,                 1.1772,                 1.1069,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.7336,                  1.048,                 1.1236,                0.62004,                0.47537,                0.57152,                 0.3512,                 1.8698,                 1.0892,                 1.0651,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.6419,                 1.0047,                 1.0832,                0.69374,                0.82967,                0.77665,                0.49691,                 1.6705,                 0.9741,                 1.0111,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.6027,                0.94713,                 1.0891,                0.62835,                0.82967,                0.73979,                0.44951,                 1.7639,                0.97289,                 1.0422,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.5641,                0.91864,                 1.0666,                0.80711,                0.49486,                0.71632,                0.37853,                 1.8988,                 1.0387,                 1.0675,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.5983,                0.92967,                 1.0703,                0.92726,                0.52783,                0.76749,                0.41983,                 1.9046,                 1.0332,                 1.0842,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.6181,                0.96515,                 1.0738,                0.51648,                0.57224,                 0.6824,                 0.4077,                 1.7674,                 1.0494,                 1.0333,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.5973,                 0.9528,                 1.0574,                0.94799,                0.47393,                0.62519,                0.36387,                   1.82,                 1.0836,                 1.0321,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.6369,                0.95614,                 1.0646,                0.82768,                0.50275,                0.62661,                0.39015,                 1.6915,                 1.0266,                 1.0139,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.5967,                0.90815,                 1.0595,                0.81962,                0.53901,                0.73458,                0.43392,                 1.7814,                 1.1389,                 1.0313,             0.00094085,             0.00094085,             0.00094085
                     46,                  1.595,                0.90946,                 1.0534,                0.95603,                0.72527,                0.84956,                0.51911,                 1.7625,                 1.0509,                 1.0377,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.5775,                0.92642,                 1.0529,                0.81154,                0.54121,                0.64881,                0.35837,                 1.9636,                 1.0528,                 1.1059,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.5977,                0.91436,                 1.0719,                0.45306,                  0.767,                0.67166,                0.37441,                 1.8289,                 1.0243,                 1.0896,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.6303,                0.94551,                 1.0727,                0.56131,                0.53179,                0.65533,                0.38988,                 1.7749,                0.99187,                 1.0514,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.5978,                0.94504,                 1.0729,                0.58366,                0.75088,                0.69223,                0.35035,                 1.8051,                 1.1842,                 1.0235,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.5466,                0.91685,                 1.0507,                0.71145,                0.82418,                0.70289,                0.34276,                 1.8182,                 1.0079,                 1.0389,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.5285,                0.86123,                 1.0457,                 0.8622,                0.58225,                0.71934,                0.40241,                 1.8405,                 1.0699,                 1.0502,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.5425,                0.87577,                 1.0541,                0.62133,                0.52385,                0.60672,                0.34271,                 1.8911,                 1.0073,                 1.0755,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.5884,                0.89237,                 1.0698,                0.76167,                0.57418,                0.64218,                0.38879,                 1.7449,                 1.0213,                 1.0225,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.544,                0.86385,                 1.0504,                0.72649,                0.51923,                 0.6322,                 0.3452,                 1.8793,                 1.0245,                  1.067,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.5343,                0.82742,                 1.0317,                0.87371,                0.48556,                0.72081,                0.38273,                 1.8521,                 1.0353,                 1.0613,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.5057,                0.81804,                 1.0375,                0.63843,                0.84748,                 0.7724,                0.42393,                 1.7881,                0.92713,                 1.0615,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.5729,                0.86108,                 1.0598,                0.83647,                 0.8275,                0.85771,                0.43791,                 1.8084,                0.95885,                 1.0324,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.5393,                 0.8394,                 1.0419,                0.70636,                0.57418,                0.61469,                0.34696,                 1.8269,                0.98602,                 1.0396,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.5056,                0.81009,                 1.0338,                0.70448,                0.56783,                0.69319,                0.42131,                 1.7474,                0.98986,                 1.0223,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.4616,                 0.7953,                 1.0344,                0.65084,                0.57541,                0.72716,                0.42185,                 1.7757,                0.91846,                 1.0283,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.5113,                0.79299,                 1.0348,                0.84451,                0.53564,                0.69527,                0.41814,                 1.7362,                  1.008,                 1.0172,              0.0006603,              0.0006603,              0.0006603
                     63,                  1.461,                0.77991,                 1.0102,                0.65307,                0.52473,                0.61271,                0.35567,                 1.7731,                 1.0466,                 1.0431,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.4502,                0.76431,                 1.0104,                0.78071,                0.53571,                0.65849,                0.40315,                 1.7743,                0.99932,                 1.0337,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.4921,                0.76999,                 1.0249,                0.82554,                0.41827,                0.70326,                0.43311,                 1.7991,                0.95252,                 1.0439,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.4746,                0.76964,                 1.0249,                0.74327,                0.60772,                0.69909,                0.38292,                 1.7256,                0.94337,                 1.0221,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.4552,                0.76438,                 1.0135,                0.79733,                0.44848,                0.57089,                0.35059,                 1.8697,                 1.0831,                 1.0431,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.4477,                0.76463,                  1.006,                0.79378,                0.54121,                0.63197,                0.38881,                 1.7492,                0.95361,                 1.0279,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.4208,                0.75149,                 1.0047,                0.63885,                0.56319,                0.62567,                0.35805,                 1.7437,                 0.9547,                 1.0267,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.4637,                0.75595,                  1.021,                0.59533,                0.58516,                0.64613,                0.36111,                 1.7865,                 1.0579,                 1.0184,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.4346,                0.77168,                 1.0074,                0.61894,                0.58792,                0.63524,                0.28191,                 1.8134,                0.97716,                 1.0432,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.4293,                0.74346,                 1.0064,                 0.5942,                0.58296,                0.70978,                0.40193,                 1.7077,                0.92868,                  1.013,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.3826,                 0.7356,                0.99408,                0.72045,                0.83303,                0.79594,                0.43773,                 1.8118,                0.87168,                   1.04,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.3832,                 0.7274,                0.98995,                0.60128,                0.86706,                0.79605,                0.43478,                 1.7795,                0.94254,                 1.0324,             0.00046226,             0.00046226,             0.00046226
                     75,                  1.361,                 0.7134,                0.98207,                0.78173,                0.51254,                0.68252,                0.41072,                 1.7769,                 1.0081,                 1.0302,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.3616,                0.70489,                0.98967,                0.78563,                0.53571,                0.69984,                0.43101,                 1.7746,                0.90747,                  1.035,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.3598,                0.70091,                0.98868,                 0.6332,                0.83932,                0.79334,                0.49062,                 1.7542,                0.97021,                 1.0271,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.3853,                0.71453,                0.98233,                0.74118,                0.53514,                0.73573,                0.45432,                 1.7715,                0.99901,                  1.031,             0.00039625,             0.00039625,             0.00039625
