                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88707,                0.57145,                 1.2949,                0.92702,                0.91462,                0.97881,                0.73755,                0.89859,                0.63633,                 1.0906,              0.0013268,              0.0013268,              0.0013268
                     36,                0.88533,                0.58384,                 1.2949,                0.95357,                0.98581,                0.98083,                0.75109,                0.85632,                0.61655,                 1.0893,               0.001307,               0.001307,               0.001307
                     37,                0.88699,                0.57637,                 1.2914,                0.95483,                  0.992,                0.98238,                0.77797,                0.81225,                0.61433,                 1.1344,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.8576,                0.56842,                  1.272,                 0.9487,                  0.968,                0.98148,                0.77636,                0.82906,                0.56555,                 1.1484,              0.0012674,              0.0012674,              0.0012674
                     39,                0.84004,                0.54573,                 1.2572,                0.95285,                  0.984,                0.98326,                0.76069,                0.86535,                0.58763,                 1.1277,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.8405,                0.54766,                 1.2575,                0.94498,                  0.984,                0.98078,                0.79674,                0.80097,                0.73608,                 1.0747,              0.0012278,              0.0012278,              0.0012278
                     41,                0.84237,                0.54589,                 1.2583,                0.96057,                0.97438,                0.98152,                0.76114,                0.85952,                0.56119,                  1.102,               0.001208,               0.001208,               0.001208
                     42,                0.85232,                0.54091,                 1.2505,                 0.9566,                  0.984,                0.97769,                0.78201,                0.84049,                0.56343,                 1.0727,              0.0011882,              0.0011882,              0.0011882
                     43,                0.82725,                0.55049,                 1.2478,                0.94999,                  0.976,                0.98063,                0.79528,                0.75564,                 0.6219,                 1.0176,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.8018,                 0.5289,                 1.2238,                0.93775,                  0.992,                0.97928,                0.77566,                 0.7759,                0.65231,                 1.0931,              0.0011486,              0.0011486,              0.0011486
                     45,                0.80144,                0.52351,                 1.2192,                0.95732,                  0.976,                0.97433,                0.75972,                0.87824,                0.57094,                 1.1133,              0.0011288,              0.0011288,              0.0011288
                     46,                0.82658,                0.51276,                 1.2438,                0.96084,                0.98153,                0.98549,                0.81164,                0.73603,                0.52072,                 1.0164,               0.001109,               0.001109,               0.001109
                     47,                0.81913,                0.52308,                 1.2255,                 0.9609,                0.98301,                0.97851,                0.80223,                0.73294,                0.52277,                 1.0116,              0.0010892,              0.0010892,              0.0010892
                     48,                0.79144,                0.51034,                 1.2092,                0.93836,                  0.984,                0.97292,                0.77034,                0.82367,                0.56231,                 1.1219,              0.0010694,              0.0010694,              0.0010694
                     49,                0.79298,                 0.5163,                 1.2216,                0.95187,                  0.984,                0.98056,                0.79434,                0.77712,                0.52988,                  1.044,              0.0010496,              0.0010496,              0.0010496
                     50,                0.77643,                0.48898,                 1.2028,                0.95722,                  0.984,                0.97537,                0.77954,                0.77351,                0.54545,                 1.0409,              0.0010298,              0.0010298,              0.0010298
                     51,                0.78601,                0.50721,                 1.2115,                0.93584,                  0.992,                0.97479,                0.78401,                0.76701,                0.51121,                 1.0376,                0.00101,                0.00101,                0.00101
                     52,                0.76409,                0.49392,                 1.1901,                0.96087,                0.98218,                0.97635,                0.79152,                0.74883,                0.54585,                 1.0213,              0.0009902,              0.0009902,              0.0009902
                     53,                0.76763,                0.49584,                 1.1852,                0.95896,                  0.984,                0.97806,                0.80269,                0.74682,                0.53003,                 1.0444,              0.0009704,              0.0009704,              0.0009704
                     54,                0.78585,                0.48617,                 1.2123,                 0.9578,                  0.984,                0.98009,                0.80384,                0.73375,                0.50988,                 1.0252,              0.0009506,              0.0009506,              0.0009506
                     55,                0.75955,                0.47805,                 1.1842,                0.93213,                0.98889,                0.97298,                0.78532,                0.78636,                0.51102,                 1.0908,              0.0009308,              0.0009308,              0.0009308
                     56,                0.75168,                 0.4742,                 1.1948,                0.93684,                  0.992,                0.98183,                0.79336,                0.81113,                0.52968,                 1.0447,               0.000911,               0.000911,               0.000911
                     57,                0.74289,                0.47648,                 1.1865,                0.93511,                  0.992,                0.97376,                0.80185,                0.74594,                0.50573,                   1.05,              0.0008912,              0.0008912,              0.0008912
                     58,                0.75207,                0.47798,                 1.1865,                 0.9529,                  0.984,                0.97388,                0.78491,                0.75295,                 0.5632,                 1.0258,              0.0008714,              0.0008714,              0.0008714
                     59,                0.74991,                0.47174,                 1.1783,                0.95834,                  0.984,                0.96848,                0.78513,                0.75489,                 0.5287,                 1.0443,              0.0008516,              0.0008516,              0.0008516
                     60,                0.75056,                0.47247,                 1.1892,                0.95894,                  0.984,                0.98526,                0.81272,                0.72889,                0.49815,                 1.0249,              0.0008318,              0.0008318,              0.0008318
                     61,                0.73642,                 0.4614,                 1.1746,                0.95604,                  0.976,                0.98531,                0.81305,                0.71915,                0.52066,                 1.0005,               0.000812,               0.000812,               0.000812
                     62,                0.74706,                 0.4746,                 1.1748,                0.93816,                  0.992,                  0.986,                0.81364,                 0.7379,                 0.4898,                 1.0168,              0.0007922,              0.0007922,              0.0007922
                     63,                0.72453,                0.46005,                  1.165,                 0.9605,                  0.984,                0.98509,                0.82047,                0.72974,                0.50835,                 1.0251,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.7389,                0.47134,                 1.1733,                0.95291,                  0.984,                0.98015,                0.80996,                0.71519,                0.51622,                 1.0198,              0.0007526,              0.0007526,              0.0007526
                     65,                0.73419,                 0.4458,                 1.1703,                0.93818,                  0.992,                0.98132,                0.81223,                0.72121,                0.51653,                 1.0201,              0.0007328,              0.0007328,              0.0007328
                     66,                0.72658,                0.45344,                 1.1621,                0.93182,                  0.992,                0.97935,                0.79628,                0.74052,                0.54403,                   1.03,               0.000713,               0.000713,               0.000713
                     67,                0.71086,                0.44759,                 1.1561,                0.93663,                  0.992,                 0.9877,                0.81728,                0.72789,                 0.4765,                  1.014,              0.0006932,              0.0006932,              0.0006932
                     68,                0.72348,                0.44363,                 1.1698,                0.93787,                  0.992,                0.97352,                0.79546,                0.69638,                0.52409,                0.97965,              0.0006734,              0.0006734,              0.0006734
                     69,                0.71319,                0.44444,                 1.1534,                0.94398,                  0.992,                 0.9848,                0.82405,                0.69217,                0.50228,                 1.0103,              0.0006536,              0.0006536,              0.0006536
                     70,                0.71066,                0.44405,                 1.1454,                0.92972,                  0.992,                0.97867,                0.80715,                0.70562,                0.48552,                 1.0126,              0.0006338,              0.0006338,              0.0006338
                     71,                0.67667,                0.43506,                  1.144,                0.95843,                  0.984,                 0.9842,                0.82767,                0.69581,                0.50942,                0.99391,               0.000614,               0.000614,               0.000614
                     72,                0.68917,                0.43263,                  1.149,                0.93784,                  0.992,                0.97811,                0.81193,                0.68713,                0.47113,                0.98962,              0.0005942,              0.0005942,              0.0005942
                     73,                0.69295,                0.43822,                 1.1461,                0.93869,                  0.992,                0.97804,                0.81684,                0.70629,                0.47828,                0.99055,              0.0005744,              0.0005744,              0.0005744
                     74,                0.67804,                0.42051,                 1.1417,                0.93898,                0.98492,                0.98073,                0.83087,                0.65466,                0.46621,                0.96669,              0.0005546,              0.0005546,              0.0005546
                     75,                0.70177,                0.43941,                 1.1561,                0.93413,                  0.992,                0.98418,                0.82434,                 0.6929,                0.46236,                0.97817,              0.0005348,              0.0005348,              0.0005348
                     76,                0.68381,                0.42341,                  1.132,                0.96092,                0.98364,                0.97955,                0.82762,                0.66471,                0.47187,                 0.9629,               0.000515,               0.000515,               0.000515
                     77,                0.67955,                0.42372,                 1.1373,                0.96082,                0.98084,                0.98207,                0.81352,                0.71946,                  0.469,                0.98806,              0.0004952,              0.0004952,              0.0004952
                     78,                0.67511,                 0.4227,                 1.1244,                0.95315,                0.97647,                0.97756,                0.82565,                0.69584,                0.45603,                0.98742,              0.0004754,              0.0004754,              0.0004754
                     79,                0.66849,                0.41276,                 1.1238,                0.96065,                  0.984,                0.97828,                0.81206,                0.68296,                  0.438,                0.96996,              0.0004556,              0.0004556,              0.0004556
                     80,                0.67173,                0.41152,                  1.126,                0.96087,                0.98225,                0.97913,                0.81428,                 0.6681,                0.45038,                0.95903,              0.0004358,              0.0004358,              0.0004358
                     81,                0.67128,                0.41219,                 1.1268,                 0.9609,                0.98293,                0.98433,                0.83597,                0.64476,                0.42167,                0.97882,               0.000416,               0.000416,               0.000416
                     82,                0.66884,                0.41764,                 1.1327,                0.96087,                0.98222,                0.98358,                0.83366,                0.65798,                0.44807,                0.96163,              0.0003962,              0.0003962,              0.0003962
                     83,                0.65584,                0.41037,                 1.1237,                0.94426,                  0.984,                0.98154,                0.81224,                0.67095,                0.46469,                0.98415,              0.0003764,              0.0003764,              0.0003764
                     84,                0.65929,                0.40688,                  1.121,                0.95783,                  0.984,                0.98169,                0.82096,                0.68192,                 0.4384,                0.96433,              0.0003566,              0.0003566,              0.0003566
                     85,                0.66421,                0.41216,                 1.1225,                0.95579,                  0.976,                0.98063,                0.82254,                0.66742,                0.44873,                0.97776,              0.0003368,              0.0003368,              0.0003368
                     86,                0.65234,                 0.4003,                 1.1196,                0.96091,                 0.9832,                0.98048,                0.82978,                0.64119,                0.44366,                0.96867,               0.000317,               0.000317,               0.000317
                     87,                0.64936,                 0.4047,                 1.1173,                0.95821,                  0.984,                0.98231,                0.83483,                 0.6577,                0.43493,                0.96411,              0.0002972,              0.0002972,              0.0002972
                     88,                0.65484,                 0.3976,                 1.1134,                0.96048,                  0.984,                0.97529,                0.81321,                0.66936,                0.44101,                0.95143,              0.0002774,              0.0002774,              0.0002774
