epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.77237,2.5819,3.03334,1.2156,0.77764,0.04722,0.10162,0.04263,2.45351,2.82838,1.1586,0.000659176,0.000659176,0.000659176
2,14.1307,2.45365,2.27151,1.16984,0.25893,0.21128,0.14371,0.05519,2.63757,2.57079,1.24232,0.00132059,0.00132059,0.00132059
3,19.7142,2.48082,2.17957,1.16377,0.32901,0.1668,0.14885,0.05882,2.58563,2.03675,1.23425,0.00197673,0.00197673,0.00197673
4,25.9806,2.4779,2.0907,1.17221,0.4588,0.08817,0.12012,0.04693,2.60804,2.96181,1.113,0.00197624,0.00197624,0.00197624
5,32.1168,2.42921,2.01735,1.14863,0.27108,0.22081,0.15301,0.05884,2.59479,1.77222,1.1937,0.00196832,0.00196832,0.00196832
6,37.6188,2.36701,1.92605,1.12503,0.41186,0.17236,0.19387,0.07818,2.50755,2.2963,1.13511,0.0019604,0.0019604,0.0019604
7,43.4972,2.35964,1.83655,1.12806,0.30337,0.18348,0.17239,0.06522,2.515,2.19726,1.12366,0.00195248,0.00195248,0.00195248
8,48.5715,2.33022,1.74106,1.10354,0.38954,0.31454,0.28913,0.10174,2.45696,1.58755,1.10871,0.00194456,0.00194456,0.00194456
9,55.3492,2.28687,1.65205,1.09306,0.41753,0.24305,0.25517,0.09414,2.46668,1.94145,1.10613,0.00193664,0.00193664,0.00193664
10,63.1821,2.29767,1.65006,1.10434,0.38556,0.26052,0.27237,0.10484,2.3825,1.82862,1.07097,0.00192872,0.00192872,0.00192872
11,70.7415,2.27001,1.65805,1.0919,0.4799,0.28912,0.31975,0.12366,2.41333,1.70289,1.0902,0.0019208,0.0019208,0.0019208
12,77.7949,2.18923,1.50931,1.07733,0.39204,0.32724,0.31201,0.11318,2.41069,1.48712,1.10209,0.00191288,0.00191288,0.00191288
13,84.5986,2.17836,1.48092,1.06609,0.50277,0.35187,0.36216,0.13395,2.31117,1.35131,1.06056,0.00190496,0.00190496,0.00190496
14,91.5229,2.19866,1.47247,1.07567,0.46288,0.37411,0.36832,0.13516,2.29986,1.41875,1.05967,0.00189704,0.00189704,0.00189704
