                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0297,                0.57977,                 1.0184,                0.88868,                      1,                0.92357,                0.64592,                  1.096,                0.66932,                0.90285,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0351,                0.58667,                  1.019,                0.86103,                      1,                 0.9129,                0.63885,                  1.135,                0.69239,                0.97233,               0.001307,               0.001307,               0.001307
                     37,                 1.0098,                0.56561,                 1.0011,                0.89889,                      1,                 0.9355,                0.66854,                 1.1138,                0.65585,                0.98516,              0.0012872,              0.0012872,              0.0012872
                     38,                0.97247,                0.54752,                0.99524,                0.90783,                      1,                 0.9172,                0.63803,                 1.0754,                0.69146,                0.90092,              0.0012674,              0.0012674,              0.0012674
                     39,                0.95129,                0.52822,                0.98682,                0.93757,                      1,                0.95043,                0.67106,                 1.0577,                0.62269,                0.94089,              0.0012476,              0.0012476,              0.0012476
                     40,                0.94653,                0.53134,                0.96759,                0.99578,                      1,                  0.995,                0.68804,                 1.0392,                0.57567,                0.89636,              0.0012278,              0.0012278,              0.0012278
                     41,                0.94785,                0.52316,                0.98165,                0.96006,                      1,                0.97382,                0.66186,                 1.1684,                0.59554,                 0.9401,               0.001208,               0.001208,               0.001208
                     42,                0.97145,                0.53245,                0.98439,                0.96595,                      1,                0.97471,                0.72393,                 1.0267,                0.58498,                0.84813,              0.0011882,              0.0011882,              0.0011882
                     43,                0.93301,                0.50738,                0.96833,                0.93328,                      1,                0.94357,                0.68027,                 1.0865,                0.56775,                0.88163,              0.0011684,              0.0011684,              0.0011684
                     44,                0.90384,                0.50431,                0.96203,                0.93842,                      1,                0.94871,                0.70407,                0.96746,                 0.5529,                 0.8658,              0.0011486,              0.0011486,              0.0011486
                     45,                0.89426,                0.50074,                0.95249,                0.97034,                0.99172,                0.99324,                0.74085,                 1.0019,                0.53811,                0.87883,              0.0011288,              0.0011288,              0.0011288
                     46,                0.88581,                0.48396,                0.95188,                0.91536,                      1,                0.94357,                0.71386,                 1.0191,                0.57886,                 0.8628,               0.001109,               0.001109,               0.001109
                     47,                0.87757,                0.48955,                0.94772,                0.90857,                      1,                 0.9175,                0.66497,                 1.0292,                0.67616,                0.88141,              0.0010892,              0.0010892,              0.0010892
                     48,                0.88073,                0.48148,                0.94106,                0.92891,                0.93939,                 0.9825,                0.72543,                0.96614,                0.57747,                0.89736,              0.0010694,              0.0010694,              0.0010694
                     49,                0.86653,                0.47153,                0.95248,                0.94098,                      1,                  0.947,                 0.6991,                 1.0029,                0.53141,                0.86168,              0.0010496,              0.0010496,              0.0010496
                     50,                0.86773,                0.46757,                0.93556,                0.99584,                      1,                  0.995,                0.72059,                 1.0229,                0.50581,                0.85685,              0.0010298,              0.0010298,              0.0010298
                     51,                0.85927,                0.46401,                0.93765,                0.90301,                      1,                0.94871,                0.69273,                 1.0299,                 0.5374,                0.85563,                0.00101,                0.00101,                0.00101
                     52,                0.85125,                0.45438,                0.92891,                0.91539,                      1,                0.94186,                0.74021,                0.95832,                0.52448,                0.84526,              0.0009902,              0.0009902,              0.0009902
                     53,                0.83466,                0.45345,                0.91924,                0.99591,                      1,                  0.995,                0.71973,                 1.0454,                0.50464,                0.88282,              0.0009704,              0.0009704,              0.0009704
                     54,                0.83983,                0.45218,                0.91757,                0.96339,                      1,                0.97471,                0.74337,                0.95073,                0.49188,                0.83308,              0.0009506,              0.0009506,              0.0009506
                     55,                0.83787,                0.44709,                0.92426,                0.96336,                      1,                0.96941,                 0.7506,                0.92724,                 0.4937,                 0.8226,              0.0009308,              0.0009308,              0.0009308
                     56,                0.82607,                0.43827,                 0.9224,                0.97053,                0.99813,                0.97912,                0.75686,                0.93205,                0.48213,                0.80755,               0.000911,               0.000911,               0.000911
                     57,                0.81809,                0.43765,                0.91568,                0.97016,                0.98543,                0.99412,                0.77483,                0.90351,                0.46838,                0.81885,              0.0008912,              0.0008912,              0.0008912
                     58,                0.80227,                0.43557,                0.91637,                0.96593,                      1,                0.98265,                0.74845,                0.94641,                0.47616,                0.83916,              0.0008714,              0.0008714,              0.0008714
                     59,                0.81279,                0.43009,                 0.9148,                0.93928,                      1,                0.97751,                0.73358,                0.96691,                0.51453,                0.83324,              0.0008516,              0.0008516,              0.0008516
                     60,                0.85217,                0.43379,                0.91596,                0.96298,                      1,                0.99235,                0.74778,                 1.0027,                0.50154,                0.85058,              0.0008318,              0.0008318,              0.0008318
                     61,                0.80882,                0.42703,                0.90528,                0.98008,                      1,                  0.995,                0.77615,                0.90981,                0.46827,                0.82979,               0.000812,               0.000812,               0.000812
                     62,                0.76822,                0.41356,                0.90363,                0.99316,                      1,                  0.995,                0.76547,                 0.8937,                0.49097,                0.81105,              0.0007922,              0.0007922,              0.0007922
                     63,                0.78467,                0.41588,                0.89978,                0.99081,                      1,                  0.995,                 0.7764,                0.90843,                0.47719,                0.81256,              0.0007724,              0.0007724,              0.0007724
                     64,                0.78104,                0.41719,                 0.8952,                 0.9971,                      1,                  0.995,                0.76956,                0.88197,                0.43936,                0.82944,              0.0007526,              0.0007526,              0.0007526
                     65,                0.77479,                0.40775,                0.88647,                0.99235,                      1,                  0.995,                0.75664,                0.91153,                 0.4232,                0.82652,              0.0007328,              0.0007328,              0.0007328
                     66,                0.76255,                0.40198,                0.89602,                0.99484,                      1,                  0.995,                0.79591,                0.87083,                0.42193,                0.81945,               0.000713,               0.000713,               0.000713
                     67,                 0.7669,                0.39989,                0.89516,                0.94205,                      1,                0.99147,                 0.7784,                0.88605,                0.43473,                0.79149,              0.0006932,              0.0006932,              0.0006932
                     68,                0.75787,                0.39544,                0.88838,                0.99135,                      1,                  0.995,                 0.7663,                0.94151,                0.46179,                0.84576,              0.0006734,              0.0006734,              0.0006734
                     69,                0.79004,                0.40364,                0.88992,                0.99511,                      1,                  0.995,                0.77953,                 0.8772,                0.44313,                0.82756,              0.0006536,              0.0006536,              0.0006536
                     70,                0.76582,                0.39152,                0.88052,                0.99521,                      1,                  0.995,                0.76506,                0.90488,                 0.4444,                0.80971,              0.0006338,              0.0006338,              0.0006338
                     71,                0.74953,                0.38872,                0.88555,                0.98916,                      1,                  0.995,                0.78494,                0.90679,                0.42043,                0.81225,               0.000614,               0.000614,               0.000614
                     72,                0.74214,                0.38591,                0.88302,                0.98807,                      1,                  0.995,                0.77499,                0.93045,                 0.4281,                0.79177,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.7302,                0.37425,                0.88175,                0.96783,                      1,                0.99147,                0.81079,                0.82791,                0.41678,                0.80346,              0.0005744,              0.0005744,              0.0005744
                     74,                0.73612,                 0.3787,                 0.8722,                0.93767,                      1,                0.99238,                0.80307,                0.81553,                0.44247,                0.77483,              0.0005546,              0.0005546,              0.0005546
                     75,                0.74603,                0.38432,                0.88336,                0.98497,                      1,                  0.995,                0.81795,                0.80796,                0.39843,                 0.7919,              0.0005348,              0.0005348,              0.0005348
                     76,                0.72144,                0.36477,                0.87843,                0.99289,                      1,                  0.995,                0.82828,                0.78298,                0.38862,                0.80666,               0.000515,               0.000515,               0.000515
                     77,                0.72363,                 0.3684,                0.87222,                0.96989,                      1,                  0.995,                0.79842,                0.85149,                0.40558,                0.81834,              0.0004952,              0.0004952,              0.0004952
                     78,                0.72246,                0.37674,                0.87354,                0.98906,                      1,                  0.995,                0.80627,                0.83466,                0.41557,                 0.7963,              0.0004754,              0.0004754,              0.0004754
                     79,                0.71018,                0.36122,                0.87279,                0.94007,                      1,                0.98043,                0.78975,                0.83949,                  0.408,                0.80949,              0.0004556,              0.0004556,              0.0004556
                     80,                0.71644,                0.36522,                0.87256,                 0.9681,                      1,                  0.995,                 0.7935,                 0.9156,                0.42776,                0.80534,              0.0004358,              0.0004358,              0.0004358
                     81,                0.70631,                 0.3591,                0.86457,                0.93277,                      1,                0.99063,                0.80994,                0.83714,                0.41665,                0.80338,               0.000416,               0.000416,               0.000416
                     82,                0.69366,                0.35707,                0.86172,                0.99152,                      1,                  0.995,                0.79552,                0.84836,                0.40407,                0.80074,              0.0003962,              0.0003962,              0.0003962
                     83,                0.69701,                0.35299,                0.85847,                0.93958,                      1,                0.99324,                0.79524,                0.84585,                0.42004,                  0.784,              0.0003764,              0.0003764,              0.0003764
                     84,                0.68274,                0.35148,                0.86143,                0.93664,                      1,                0.99063,                0.79388,                 0.8235,                0.42122,                0.78969,              0.0003566,              0.0003566,              0.0003566
                     85,                0.69749,                0.35032,                0.86256,                 0.9803,                      1,                  0.995,                0.79312,                0.82263,                0.39323,                0.79914,              0.0003368,              0.0003368,              0.0003368
                     86,                   0.68,                0.34681,                 0.8601,                 0.9153,                      1,                0.99157,                0.80318,                0.83571,                0.42016,                0.79829,               0.000317,               0.000317,               0.000317
                     87,                0.68478,                0.34731,                0.87039,                0.96833,                      1,                  0.995,                0.80856,                0.82266,                0.39764,                0.79353,              0.0002972,              0.0002972,              0.0002972
                     88,                0.68168,                0.34635,                0.85463,                      1,                0.99451,                  0.995,                0.79805,                0.81802,                0.39833,                0.78881,              0.0002774,              0.0002774,              0.0002774
                     89,                0.67647,                0.34095,                0.85437,                0.93309,                      1,                0.99412,                0.80375,                0.81242,                0.41171,                0.78752,              0.0002576,              0.0002576,              0.0002576
                     90,                0.67529,                0.34002,                0.85248,                  0.981,                      1,                  0.995,                0.78547,                 0.8293,                0.38512,                0.78207,              0.0002378,              0.0002378,              0.0002378
                     91,                0.67014,                 0.3309,                0.85042,                0.98666,                      1,                  0.995,                0.81963,                0.80281,                0.38473,                0.78118,               0.000218,               0.000218,               0.000218
                     92,                0.67605,                0.33741,                0.84931,                0.94152,                      1,                  0.995,                0.79476,                0.83751,                0.40133,                0.78693,              0.0001982,              0.0001982,              0.0001982
                     93,                0.67177,                0.33427,                0.85258,                0.94135,                      1,                  0.995,                   0.81,                0.83211,                0.40661,                0.78739,              0.0001784,              0.0001784,              0.0001784
                     94,                0.66886,                0.33512,                0.85525,                0.93979,                      1,                 0.9897,                0.79892,                0.79813,                0.39403,                0.79311,              0.0001586,              0.0001586,              0.0001586
                     95,                0.65204,                0.32737,                0.84901,                0.98669,                      1,                  0.995,                0.81265,                0.79067,                0.38506,                0.79037,              0.0001388,              0.0001388,              0.0001388
                     96,                0.65959,                0.32627,                  0.855,                0.99392,                      1,                  0.995,                0.81719,                0.76997,                0.38007,                0.78646,               0.000119,               0.000119,               0.000119
                     97,                0.65246,                0.32545,                0.85239,                0.99477,                      1,                  0.995,                0.81606,                0.74087,                0.36712,                0.77969,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.6426,                 0.3202,                0.84344,                 0.9944,                      1,                  0.995,                0.84189,                0.74158,                0.36321,                 0.7778,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.63916,                0.32008,                 0.8493,                0.99483,                      1,                  0.995,                0.84022,                0.73664,                0.36158,                 0.7808,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.64067,                 0.3164,                0.84424,                0.99423,                      1,                  0.995,                0.83503,                0.73611,                0.36293,                0.77864,               3.98e-05,               3.98e-05,               3.98e-05
