epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,290.92,1.87643,1.02834,0.97949,0.64037,0.44694,0.47632,0.17657,2.15308,1.0899,1.01053,0.0011882,0.0011882,0.0011882
43,298.632,1.88226,1.04175,0.98904,0.66873,0.44241,0.50302,0.18207,2.16294,1.11051,1.00052,0.0011684,0.0011684,0.0011684
44,307.163,1.86207,1.03146,0.97886,0.5705,0.42812,0.43427,0.14692,2.30053,1.13488,1.04012,0.0011486,0.0011486,0.0011486
45,314.25,1.88579,1.02213,0.98213,0.64049,0.48133,0.52041,0.19777,2.11497,1.07553,1.00678,0.0011288,0.0011288,0.0011288
46,321.103,1.84908,0.99771,0.97014,0.65353,0.49245,0.54144,0.20998,2.07568,1.06162,0.98563,0.001109,0.001109,0.001109
47,328.221,1.85859,1.00346,0.97385,0.65967,0.49166,0.51341,0.18774,2.19216,1.06306,1.01588,0.0010892,0.0010892,0.0010892
48,335.642,1.88593,1.0301,0.98153,0.59832,0.46783,0.47401,0.17329,2.2001,1.08636,1.01902,0.0010694,0.0010694,0.0010694
49,339.307,1.88112,1.00417,0.9789,0.66207,0.45671,0.50676,0.18092,2.28673,1.09695,1.03679,0.0010496,0.0010496,0.0010496
50,342.641,1.87726,0.99794,0.97721,0.64786,0.51731,0.54527,0.204,2.12784,1.07173,0.99686,0.0010298,0.0010298,0.0010298
51,346.081,1.8656,0.99525,0.97076,0.64096,0.45671,0.45715,0.15848,2.28116,1.09755,1.02872,0.00101,0.00101,0.00101
52,349.628,1.89724,1.01452,0.97883,0.59216,0.46015,0.46174,0.1604,2.36752,1.17197,1.06364,0.0009902,0.0009902,0.0009902
53,353.117,1.88672,1.00075,0.97426,0.63693,0.46942,0.49865,0.18354,2.19126,1.08735,1.01102,0.0009704,0.0009704,0.0009704
54,357.512,1.97446,1.01222,0.99713,0.65487,0.48529,0.51288,0.19921,2.06226,1.08149,0.98709,0.0009506,0.0009506,0.0009506
55,361.369,1.89193,1.01042,0.97874,0.68909,0.47419,0.55181,0.22366,1.98595,1.07159,0.97368,0.0009308,0.0009308,0.0009308
56,366.325,1.85147,0.97962,0.97284,0.64407,0.48848,0.54503,0.22157,2.01037,1.07628,0.97889,0.000911,0.000911,0.000911
