epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75549,2.5819,3.03334,1.2156,0.77764,0.04722,0.10162,0.04263,2.45351,2.82838,1.1586,0.000659176,0.000659176,0.000659176
2,14.5079,2.45227,2.26683,1.16352,0.32148,0.17156,0.13842,0.05595,2.57781,2.40406,1.22182,0.00131928,0.00131928,0.00131928
3,21.864,2.46336,2.21529,1.15838,0.29942,0.17156,0.13591,0.05147,2.63469,2.05471,1.23072,0.00197278,0.00197278,0.00197278
4,29.7077,2.44211,2.09304,1.15113,0.41385,0.05719,0.077,0.03093,2.71202,3.29696,1.14373,0.0019703,0.0019703,0.0019703
5,36.2018,2.45558,2.10338,1.16162,0.37979,0.25973,0.23163,0.08605,2.46667,1.6715,1.11844,0.0019604,0.0019604,0.0019604
6,43.1756,2.38249,1.95104,1.12331,0.26717,0.17633,0.13607,0.0498,2.79335,1.82872,1.25703,0.0019505,0.0019505,0.0019505
7,50.5949,2.33807,1.78926,1.11747,0.39163,0.28674,0.25573,0.09757,2.42306,1.53226,1.1168,0.0019406,0.0019406,0.0019406
8,56.7645,2.34879,1.73595,1.11056,0.38964,0.3311,0.29302,0.10508,2.39779,1.51482,1.08279,0.0019307,0.0019307,0.0019307
9,64.2102,2.32448,1.69474,1.11107,0.48882,0.34551,0.33078,0.11948,2.35513,1.48365,1.06672,0.0019208,0.0019208,0.0019208
10,71.6969,2.28278,1.64449,1.09156,0.40213,0.28991,0.25903,0.08882,2.60782,1.49022,1.16722,0.0019109,0.0019109,0.0019109
11,79.899,2.299,1.64068,1.09556,0.42555,0.32566,0.30272,0.11336,2.42773,1.36743,1.10331,0.001901,0.001901,0.001901
12,87.3199,2.25958,1.56462,1.08538,0.4608,0.39476,0.38236,0.14409,2.26174,1.35384,1.04538,0.0018911,0.0018911,0.0018911
13,94.8352,2.20695,1.47866,1.06869,0.45437,0.36696,0.35156,0.13456,2.29499,1.53069,1.03638,0.0018812,0.0018812,0.0018812
