epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2842,1.59795,1.85136,1.48245,0.70026,0.47,0.59111,0.21316,1.79176,2.72871,1.67586,0.000664112,0.000664112,0.000664112
2,20.4054,1.61113,1.44937,1.48395,0.48292,0.395,0.39209,0.16823,2.25537,2.74493,2.34649,0.001322,0.001322,0.001322
3,30.6937,1.61167,1.3245,1.49282,0.53299,0.565,0.53537,0.2085,2.12602,1.75075,2.00167,0.00197108,0.00197108,0.00197108
4,42.1455,1.54486,1.20575,1.4822,0.819,0.67,0.82707,0.45822,1.5709,1.16092,1.76717,0.0019604,0.0019604,0.0019604
5,52.6172,1.51316,1.08099,1.42867,0.88315,0.75579,0.88121,0.37236,1.86557,1.16304,1.87761,0.0019472,0.0019472,0.0019472
6,61.3453,1.41842,1.02555,1.36746,0.84487,0.865,0.92026,0.37187,1.87576,1.05727,1.54393,0.001934,0.001934,0.001934
7,72.2438,1.30133,0.93765,1.28913,0.98291,0.86297,0.96773,0.62042,1.29985,0.82967,1.37938,0.0019208,0.0019208,0.0019208
8,83.3223,1.19027,0.83674,1.23993,0.93495,0.86239,0.95373,0.56685,1.3846,0.88584,1.65636,0.0019076,0.0019076,0.0019076
9,95.6812,1.13704,0.79494,1.21079,0.95854,0.93,0.96928,0.70223,1.03455,0.74711,1.12175,0.0018944,0.0018944,0.0018944
10,109.359,1.05001,0.73327,1.17111,0.95575,0.97196,0.98518,0.7163,0.96294,0.65802,1.0802,0.0018812,0.0018812,0.0018812
11,123.211,1.02963,0.71658,1.15436,0.93541,0.92,0.97726,0.73112,0.94717,0.74902,1.06481,0.001868,0.001868,0.001868
12,137.036,1.01878,0.69269,1.13482,0.95385,0.93002,0.97986,0.73255,0.95853,0.68986,1.09954,0.0018548,0.0018548,0.0018548
13,150.831,0.98836,0.67372,1.12321,0.97466,0.96174,0.98483,0.74492,0.89906,0.61674,1.04871,0.0018416,0.0018416,0.0018416
14,164.73,0.94408,0.64568,1.1017,0.95703,0.945,0.97716,0.71593,0.95886,0.67497,1.1006,0.0018284,0.0018284,0.0018284
15,178.485,0.97178,0.65063,1.1173,0.95761,0.94,0.9841,0.74357,0.91554,0.60895,1.10622,0.0018152,0.0018152,0.0018152
16,192.299,0.94055,0.6441,1.10188,0.99481,0.95819,0.9886,0.76259,0.91054,0.58587,1.04455,0.001802,0.001802,0.001802
17,206.036,0.93172,0.64005,1.09836,0.99365,0.96,0.98938,0.76223,0.8954,0.59653,1.04291,0.0017888,0.0017888,0.0017888
18,219.789,0.8644,0.5846,1.05628,0.98537,0.955,0.98379,0.7746,0.81002,0.56883,1.0213,0.0017756,0.0017756,0.0017756
